"filename", "language", "HTML", "JavaScript JSX", "JavaScript", "Properties", "CSS", "JSON", "XML", "Markdown", "comment", "blank", "total"
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\LongMenu.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 1, 5, 65
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\NavBar.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\Navegation\NavegationMenu.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 2, 8, 71
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\SideInbox\InboxPeople.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\SideInbox\Searchbox.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 5, 5, 46
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\SideInbox\SideBar.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 1, 8, 46
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\SideInbox\SidebarChat.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 2, 3, 55
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\SideInbox\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\components\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\layout\AdminLayout.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 80, 15, 138
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\layout\TraductorLayout.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\layout\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\pages\AdminPage.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\pages\PaymentPage.jsx", "JavaScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 21, 107
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\pages\TraductorPage.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\pages\UsersPage.jsx", "JavaScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 0, 8, 74
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\pages\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Software 1\Proyecto Final\traductor-IA\src\traductor\routes\TraductorRoutes.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Software 1\Proyecto Final\traductor-IA\src\ui\components\CheckingAuth.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Software 1\Proyecto Final\traductor-IA\src\ui\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Software 1\Proyecto Final\traductor-IA\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 24, 1000, 277, 1, 207, 4827, 1, 5, 141, 272, 6755
